04-04-2020 09:50:40 INFO [django.utils.autoreload: 598] -- Watching for file changes with StatReloader
04-04-2020 09:50:40 DEBUG [django.utils.autoreload: 286] -- Waiting for apps ready_event.
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 282] -- Main Django thread has terminated before apps are ready.
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 297] -- Apps ready_event triggered. Sending autoreload_started signal.
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/numbers.py first seen with mtime 1571093417.0
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/heapq.py first seen with mtime 1571093417.0
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/email/quoprimime.py first seen with mtime 1571093419.0
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/pygments/filters/__init__.py first seen with mtime 1585938530.12856
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/django/utils/encoding.py first seen with mtime 1585936083.63791
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/healthybank/healthybank/healthybank/settings.py first seen with mtime 1585993838.2087
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/django/db/models/constraints.py first seen with mtime 1585936083.574729
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/django/contrib/gis/gdal/raster/source.py first seen with mtime 1585936083.073664
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/email/headerregistry.py first seen with mtime 1571093419.0
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/markdown/__init__.py first seen with mtime 1585964476.192251
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/django/utils/datetime_safe.py first seen with mtime 1585936083.636338
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/markdown/util.py first seen with mtime 1585964476.197853
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_compile.py first seen with mtime 1571093417.0
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/fnmatch.py first seen with mtime 1571093417.0
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/pygments/lexer.py first seen with mtime 1585938530.123909
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/django/contrib/postgres/forms/hstore.py first seen with mtime 1585936083.246153
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/django/contrib/gis/geos/prototypes/predicates.py first seen with mtime 1585936083.081777
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/django/template/response.py first seen with mtime 1585936083.620177
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/xml/dom/domreg.py first seen with mtime 1571093420.0
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/calendar.py first seen with mtime 1571093417.0
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/lib-dynload/_datetime.cpython-37m-darwin.so first seen with mtime 1571093399.0
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/django/db/models/fields/related_descriptors.py first seen with mtime 1585936083.582205
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/pygments/lexers/_mapping.py first seen with mtime 1585938530.139002
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/django/forms/renderers.py first seen with mtime 1585936083.592883
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/django/utils/tree.py first seen with mtime 1585936083.645335
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/django/db/models/base.py first seen with mtime 1585936083.574067
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/urllib/request.py first seen with mtime 1571093419.0
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/xml/__init__.py first seen with mtime 1571093420.0
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/email/_header_value_parser.py first seen with mtime 1571093419.0
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/django/templatetags/static.py first seen with mtime 1585936083.625779
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/rest_framework/exceptions.py first seen with mtime 1585964467.660813
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/django/contrib/gis/geos/geometry.py first seen with mtime 1585936083.077157
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/django/contrib/messages/storage/__init__.py first seen with mtime 1585936083.236485
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/rest_framework/validators.py first seen with mtime 1585964467.671014
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/signal.py first seen with mtime 1571093417.0
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/lib-dynload/binascii.cpython-37m-darwin.so first seen with mtime 1571093408.0
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/psycopg2/_ipaddress.py first seen with mtime 1571532330.0
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/django/urls/converters.py first seen with mtime 1585936083.630911
